numero,frecuencia,proporcion
1,180,0.014359792580773833
2,216,0.0172317510969286
3,210,0.016753091344236137
4,201,0.016035101715197446
5,191,0.015237335460710011
6,196,0.01563621858795373
7,197,0.015715995213402473
8,202,0.01611487834064619
9,192,0.015317112086158756
10,236,0.01882728360590347
11,212,0.016912644595133627
12,199,0.01587554846429996
13,196,0.01563621858795373
14,227,0.01810929397686478
15,196,0.01563621858795373
16,204,0.016274431591543678
17,230,0.01834862385321101
18,215,0.017151974471479856
19,194,0.015476665337056243
20,227,0.01810929397686478
21,195,0.015556441962504986
22,207,0.01651376146788991
23,173,0.013801356202632628
24,216,0.0172317510969286
25,206,0.016433984842441164
26,195,0.015556441962504986
27,202,0.01611487834064619
28,203,0.016194654966094933
29,212,0.016912644595133627
30,197,0.015715995213402473
31,239,0.0190666134822497
32,201,0.016035101715197446
33,190,0.015157558835261268
34,183,0.014599122457120063
35,195,0.015556441962504986
36,195,0.015556441962504986
37,184,0.014678899082568808
38,214,0.017072197846031114
39,215,0.017151974471479856
40,200,0.015955325089748704
41,190,0.015157558835261268
42,209,0.016673314718787396
43,191,0.015237335460710011
44,201,0.016035101715197446
45,190,0.015157558835261268
46,219,0.017471080973274832
47,174,0.013881132828081372
48,212,0.016912644595133627
49,196,0.01563621858795373
50,197,0.015715995213402473
51,213,0.01699242122058237
52,205,0.016354208216992423
53,180,0.014359792580773833
54,155,0.012365376944555246
55,141,0.011248504188272836
56,169,0.013482249700837655
57,89,0.007100119664938173
58,105,0.008376545672118069
59,91,0.00725967291583566
60,77,0.006142800159553251
61,84,0.006701236537694455
62,94,0.007499002792181891
63,85,0.006781013163143199
64,94,0.007499002792181891
65,75,0.005983246908655764
66,102,0.008137215795771839
67,68,0.005424810530514559
68,87,0.006940566414040686
69,88,0.00702034303948943
70,83,0.006621459912245712
71,22,0.0017550857598723575
72,20,0.0015955325089748703
73,31,0.002473075388911049
74,30,0.0023932987634623054
75,25,0.001994415636218588
