numero,frecuencia,proporcion
1,93,0.03709613083366574
2,81,0.03230953330674113
3,94,0.03749501396090946
4,94,0.03749501396090946
5,70,0.02792181890706023
6,91,0.0362983645791783
7,101,0.04028719585161548
8,78,0.031112883925009972
9,98,0.03909054646988432
10,95,0.03789389708815317
11,90,0.035899481451934584
12,83,0.03310729956122856
13,92,0.03669724770642202
14,79,0.03151176705225369
15,89,0.035500598324690866
16,55,0.021938571998404467
17,57,0.022736338252891904
18,65,0.025927403270841642
19,65,0.025927403270841642
20,58,0.023135221380135622
21,65,0.025927403270841642
22,72,0.028719585161547666
23,46,0.01834862385321101
24,74,0.029517351416035103
25,59,0.023534104507379337
26,25,0.00997207818109294
27,21,0.008376545672118069
28,17,0.006781013163143199
29,27,0.010769844435580374
30,24,0.009573195053849222
31,25,0.00997207818109294
32,17,0.006781013163143199
33,27,0.010769844435580374
34,34,0.013562026326286399
35,29,0.011567610690067811
36,37,0.014758675708017551
37,20,0.007977662544874352
38,33,0.01316314319904268
39,25,0.00997207818109294
40,24,0.009573195053849222
41,22,0.008775428799361787
42,29,0.011567610690067811
43,21,0.008376545672118069
44,26,0.010370961308336658
45,23,0.009174311926605505
46,23,0.009174311926605505
47,7,0.002792181890706023
48,4,0.0015955325089748703
49,7,0.002792181890706023
50,4,0.0015955325089748703
51,1,0.00039888312724371757
52,11,0.0043877143996808934
