numero,apariciones,gap_promedio_sorteos,gap_mediana_sorteos,gap_min_sorteos,gap_max_sorteos,ultima_fecha
31,239,10.407563025210084,8.0,1,41,2026-04-03
10,236,10.574468085106384,7.0,1,82,2026-05-19
17,230,10.816593886462883,7.0,1,64,2026-05-15
20,227,10.93362831858407,8.0,1,51,2026-03-20
14,227,11.017699115044248,8.5,1,66,2026-04-28
46,219,11.256880733944953,8.0,1,68,2025-12-16
2,216,11.465116279069768,8.0,1,63,2026-01-16
24,216,11.572093023255814,8.0,1,53,2026-05-29
39,215,11.57943925233645,8.0,1,58,2026-02-27
18,215,11.64018691588785,8.0,1,59,2026-04-10
38,214,11.629107981220658,9.0,1,66,2026-04-17
51,213,11.754716981132075,9.0,1,96,2026-05-26
29,212,11.450236966824644,8.0,1,88,2025-08-01
11,212,11.710900473933648,8.0,1,63,2026-03-20
48,212,11.85308056872038,8.0,1,97,2026-06-02
3,210,11.952153110047847,10.0,1,60,2026-05-22
42,209,11.947115384615385,9.0,1,79,2026-04-10
22,207,12.135922330097088,8.0,1,97,2026-05-22
25,206,12.2,9.0,1,70,2026-05-15
52,205,12.25,9.0,1,90,2026-05-15
16,204,12.192118226600986,9.0,1,70,2026-05-01
28,203,12.306930693069306,8.0,1,77,2026-03-27
8,202,12.303482587064677,10.0,1,51,2026-03-06
27,202,12.393034825870647,9.0,1,67,2026-05-01
4,201,12.425,9.0,1,72,2026-03-24
44,201,12.46,8.0,1,76,2026-04-17
32,201,12.49,8.5,1,78,2026-05-12
40,200,12.447236180904522,9.0,1,81,2026-05-12
12,199,12.595959595959595,9.5,1,56,2026-05-05
7,197,12.637755102040817,9.0,1,56,2026-04-24
30,197,12.637755102040817,8.0,1,75,2026-03-10
50,197,12.683673469387756,9.0,1,65,2026-05-05
13,196,12.707692307692307,7.0,1,68,2026-03-27
6,196,12.717948717948717,9.0,1,73,2026-03-13
49,196,12.78974358974359,9.0,1,86,2026-05-26
15,196,12.851282051282052,9.0,1,72,2026-06-02
36,195,12.706185567010309,9.0,1,62,2026-04-28
35,195,12.81958762886598,9.0,1,91,2026-05-12
26,195,12.845360824742269,9.0,1,83,2026-06-02
21,195,12.855670103092784,9.0,1,59,2026-05-01
19,194,12.896373056994818,8.0,1,83,2026-05-29
9,192,12.863874345549739,9.0,1,59,2026-01-06
5,191,13.142105263157895,9.0,1,63,2026-05-26
43,191,13.147368421052631,9.0,1,77,2026-06-02
45,190,13.148148148148149,9.0,1,82,2026-04-03
33,190,13.174603174603174,9.0,1,60,2026-04-07
41,190,13.206349206349206,10.0,1,67,2026-05-01
37,184,13.612021857923498,9.0,1,82,2026-05-08
34,183,13.54945054945055,10.0,1,77,2026-05-22
53,180,12.050279329608939,9.0,1,76,2026-03-24
1,180,13.787709497206704,9.0,1,79,2026-05-26
47,174,14.479768786127167,11.0,1,73,2026-05-29
23,173,14.44767441860465,10.0,1,64,2026-05-15
56,169,12.964285714285714,9.0,1,74,2026-05-19
54,155,14.103896103896103,10.0,1,65,2026-05-22
55,141,15.507142857142858,11.0,1,113,2026-05-05
58,105,12.413461538461538,8.0,1,89,2026-05-08
66,102,12.574257425742575,10.0,1,61,2026-04-28
62,94,13.978494623655914,12.0,1,48,2026-04-17
64,94,14.064516129032258,11.0,1,49,2026-05-19
59,91,14.5,11.0,1,62,2026-05-29
57,89,14.738636363636363,10.0,1,60,2026-04-14
69,88,14.689655172413794,10.0,1,93,2026-04-14
68,87,14.569767441860465,10.0,1,57,2026-04-03
63,85,15.380952380952381,11.0,1,73,2026-04-03
61,84,15.168674698795181,13.0,1,56,2026-05-22
70,83,15.402439024390244,12.0,1,63,2026-01-20
60,77,17.30263157894737,12.0,1,68,2026-06-02
65,75,17.7027027027027,12.5,1,71,2026-05-29
67,68,19.19402985074627,14.0,1,63,2026-02-27
73,31,13.3,6.0,1,71,2017-10-20
74,30,14.03448275862069,12.0,1,46,2017-09-29
75,25,16.666666666666668,16.5,1,37,2017-09-26
71,22,18.80952380952381,17.0,1,44,2017-08-04
72,20,19.526315789473685,12.0,2,61,2017-09-05
