numero,apariciones,gap_promedio_sorteos,gap_mediana_sorteos,gap_min_sorteos,gap_max_sorteos,ultima_fecha
7,101,24.86,15.5,1.0,171.0,2026-05-29
9,98,25.587628865979383,17.0,1.0,152.0,2026-03-13
10,95,26.24468085106383,16.0,1.0,182.0,2026-05-05
3,94,26.204301075268816,20.0,1.0,168.0,2026-05-15
4,94,26.591397849462364,16.0,1.0,178.0,2026-03-20
1,93,26.67391304347826,15.5,1.0,305.0,2026-02-13
13,92,27.087912087912088,22.0,1.0,150.0,2026-01-30
6,91,27.68888888888889,17.0,1.0,159.0,2026-05-19
11,90,26.280898876404493,17.0,1.0,137.0,2025-07-29
15,89,28.181818181818183,16.5,1.0,121.0,2026-04-28
12,83,30.146341463414632,19.5,1.0,276.0,2026-06-02
2,81,31.025,20.0,1.0,261.0,2026-04-07
14,79,31.44871794871795,23.0,1.0,165.0,2026-02-17
8,78,32.03896103896104,23.0,1.0,194.0,2026-05-22
24,74,34.16438356164384,14.0,1.0,516.0,2026-05-01
22,72,33.816901408450704,18.0,1.0,570.0,2025-09-09
5,70,35.289855072463766,22.0,1.0,177.0,2026-01-27
19,65,36.515625,23.0,1.0,463.0,2026-02-06
21,65,38.109375,19.5,1.0,511.0,2026-02-03
18,65,38.28125,17.5,2.0,665.0,2025-12-19
25,59,40.41379310344828,20.5,1.0,445.0,2025-04-04
20,58,40.8421052631579,29.0,1.0,492.0,2025-06-24
17,57,42.75,28.0,2.0,532.0,2026-05-12
16,55,43.851851851851855,29.5,1.0,468.0,2026-05-08
23,46,53.51111111111111,34.0,1.0,602.0,2026-02-27
36,37,31.86111111111111,21.0,1.0,114.0,2013-05-28
34,34,34.15151515151515,23.0,2.0,130.0,2013-09-20
38,33,35.625,36.0,1.0,131.0,2013-09-27
35,29,39.17857142857143,28.5,2.0,127.0,2013-03-19
42,29,40.57142857142857,25.0,3.0,156.0,2013-07-26
29,27,40.96153846153846,35.0,2.0,120.0,2013-01-01
33,27,42.92307692307692,31.0,2.0,141.0,2013-09-24
44,26,43.92,25.0,4.0,170.0,2013-03-08
31,25,44.291666666666664,29.0,1.0,167.0,2013-09-06
39,25,46.458333333333336,24.0,1.0,190.0,2013-07-30
26,25,46.916666666666664,26.0,1.0,151.0,2013-05-31
30,24,50.21739130434783,44.0,8.0,145.0,2013-06-18
40,24,50.26086956521739,30.0,2.0,142.0,2013-08-13
45,23,42.45454545454545,21.0,1.0,140.0,2012-08-31
46,23,51.22727272727273,34.5,1.0,195.0,2013-10-11
41,22,55.0,44.0,1.0,153.0,2013-08-06
27,21,51.35,40.5,1.0,126.0,2012-11-23
43,21,55.75,43.0,2.0,194.0,2013-04-30
37,20,59.1578947368421,42.0,8.0,243.0,2013-08-16
32,17,67.875,39.0,3.0,212.0,2012-12-28
28,17,69.875,58.5,2.0,177.0,2013-09-03
52,11,24.1,21.0,2.0,55.0,2004-10-01
49,7,19.333333333333332,18.0,4.0,42.0,2004-09-14
47,7,50.833333333333336,46.0,13.0,84.0,2005-05-03
48,4,83.66666666666667,53.0,17.0,181.0,2004-10-29
50,4,89.0,65.0,5.0,197.0,2005-01-14
51,1,,,,,2003-10-03
