numero,apariciones,gap_promedio_sorteos,gap_mediana_sorteos,gap_min_sorteos,gap_max_sorteos,ultima_fecha
31,239,10.407563025210084,8.0,1,41,2026-04-03
10,236,10.574468085106384,7.0,1,82,2026-05-19
17,230,10.816593886462883,7.0,1,64,2026-05-15
20,227,10.93362831858407,8.0,1,51,2026-03-20
14,227,11.017699115044248,8.5,1,66,2026-04-28
46,219,11.256880733944953,8.0,1,68,2025-12-16
2,216,11.465116279069768,8.0,1,63,2026-01-16
24,216,11.572093023255814,8.0,1,53,2026-05-29
39,215,11.57943925233645,8.0,1,58,2026-02-27
18,215,11.64018691588785,8.0,1,59,2026-04-10
38,214,11.629107981220658,9.0,1,66,2026-04-17
51,213,11.754716981132075,9.0,1,96,2026-05-26
29,212,11.450236966824644,8.0,1,88,2025-08-01
11,212,11.710900473933648,8.0,1,63,2026-03-20
48,212,11.85308056872038,8.0,1,97,2026-06-02
