numero,apariciones,gap_promedio_sorteos,gap_mediana_sorteos,gap_min_sorteos,gap_max_sorteos,ultima_fecha
7,101,24.86,15.5,1.0,171.0,2026-05-29
9,98,25.587628865979383,17.0,1.0,152.0,2026-03-13
10,95,26.24468085106383,16.0,1.0,182.0,2026-05-05
3,94,26.204301075268816,20.0,1.0,168.0,2026-05-15
4,94,26.591397849462364,16.0,1.0,178.0,2026-03-20
1,93,26.67391304347826,15.5,1.0,305.0,2026-02-13
13,92,27.087912087912088,22.0,1.0,150.0,2026-01-30
6,91,27.68888888888889,17.0,1.0,159.0,2026-05-19
11,90,26.280898876404493,17.0,1.0,137.0,2025-07-29
15,89,28.181818181818183,16.5,1.0,121.0,2026-04-28
12,83,30.146341463414632,19.5,1.0,276.0,2026-06-02
2,81,31.025,20.0,1.0,261.0,2026-04-07
14,79,31.44871794871795,23.0,1.0,165.0,2026-02-17
8,78,32.03896103896104,23.0,1.0,194.0,2026-05-22
24,74,34.16438356164384,14.0,1.0,516.0,2026-05-01
