numero,frecuencia,proporcion
1,542,0.021406003159557662
2,516,0.02037914691943128
3,520,0.020537124802527645
4,503,0.01986571879936809
5,542,0.021406003159557662
6,512,0.02022116903633491
7,518,0.020458135860979464
8,522,0.02061611374407583
9,486,0.01919431279620853
10,484,0.019115323854660346
11,508,0.020063191153238548
12,535,0.02112954186413902
13,544,0.021484992101105844
14,529,0.02089257503949447
15,544,0.021484992101105844
16,506,0.019984202211690363
17,513,0.020260663507109006
18,542,0.021406003159557662
19,519,0.020497630331753555
20,525,0.020734597156398103
21,505,0.019944707740916272
22,492,0.01943127962085308
23,471,0.018601895734597158
24,538,0.021248025276461295
25,525,0.020734597156398103
26,467,0.01844391785150079
27,489,0.019312796208530807
28,509,0.02010268562401264
29,534,0.021090047393364928
30,523,0.02065560821484992
31,487,0.019233807266982622
32,546,0.02156398104265403
33,527,0.02081358609794629
34,472,0.01864139020537125
35,511,0.02018167456556082
36,541,0.02136650868878357
37,505,0.019944707740916272
38,496,0.019589257503949447
39,511,0.02018167456556082
40,443,0.017496050552922592
41,431,0.01702211690363349
42,432,0.017061611374407582
43,431,0.01702211690363349
44,439,0.017338072669826225
45,297,0.011729857819905213
46,268,0.010584518167456557
47,297,0.011729857819905213
48,253,0.009992101105845181
49,266,0.010505529225908373
50,287,0.011334913112164297
51,235,0.009281200631911532
52,241,0.009518167456556082
53,215,0.0084913112164297
54,250,0.009873617693522907
55,231,0.009123222748815166
56,245,0.009676145339652449
