numero,frecuencia,proporcion
1,88,0.02085308056872038
2,86,0.02037914691943128
3,83,0.01966824644549763
4,83,0.01966824644549763
5,78,0.01848341232227488
6,91,0.02156398104265403
7,76,0.01800947867298578
8,67,0.015876777251184835
9,97,0.02298578199052133
10,84,0.01990521327014218
11,106,0.025118483412322274
12,93,0.022037914691943127
13,88,0.02085308056872038
14,73,0.017298578199052134
15,78,0.01848341232227488
16,88,0.02085308056872038
17,77,0.018246445497630333
18,80,0.018957345971563982
19,86,0.02037914691943128
20,81,0.01919431279620853
21,78,0.01848341232227488
22,87,0.02061611374407583
23,71,0.016824644549763033
24,79,0.01872037914691943
25,89,0.021090047393364928
26,101,0.023933649289099527
27,90,0.02132701421800948
28,102,0.024170616113744076
29,92,0.021800947867298578
30,81,0.01919431279620853
31,92,0.021800947867298578
32,93,0.022037914691943127
33,79,0.01872037914691943
34,94,0.02227488151658768
35,57,0.013507109004739337
36,82,0.01943127962085308
37,94,0.02227488151658768
38,88,0.02085308056872038
39,89,0.021090047393364928
40,91,0.02156398104265403
41,53,0.012559241706161137
42,61,0.014454976303317536
43,79,0.01872037914691943
44,81,0.01919431279620853
45,61,0.014454976303317536
46,45,0.01066350710900474
47,43,0.01018957345971564
48,46,0.010900473933649289
49,58,0.013744075829383886
50,38,0.00900473933649289
51,54,0.012796208530805687
52,44,0.01042654028436019
53,42,0.00995260663507109
54,37,0.008767772511848342
55,27,0.006398104265402844
56,39,0.00924170616113744
