numero,apariciones,gap_promedio_sorteos,gap_mediana_sorteos,gap_min_sorteos,gap_max_sorteos,ultima_fecha
32,546,7.722935779816514,5.0,1,48,2026-05-13
13,544,7.758747697974218,6.0,1,51,2026-05-27
15,544,7.762430939226519,5.0,1,52,2026-05-29
1,542,7.741219963031424,5.0,1,47,2026-03-20
5,542,7.7652495378927915,6.0,1,43,2026-04-22
18,542,7.7818853974122,5.0,1,69,2026-05-15
36,541,7.79074074074074,5.0,1,52,2026-05-15
24,538,7.839851024208566,5.0,1,45,2026-05-13
12,535,7.868913857677903,6.0,1,51,2026-04-29
29,534,7.911819887429644,5.0,1,55,2026-05-31
14,529,7.979166666666667,5.0,1,61,2026-05-31
33,527,8.007604562737642,6.0,1,50,2026-05-24
25,525,8.030534351145038,6.0,1,43,2026-05-27
20,525,8.038167938931299,6.0,1,61,2026-05-22
30,523,8.080459770114942,5.0,1,70,2026-05-29
8,522,8.08253358925144,6.0,1,56,2026-05-20
3,520,8.098265895953757,6.0,1,47,2026-05-15
19,519,8.12934362934363,6.0,1,42,2026-05-13
7,518,8.156673114119922,5.0,1,49,2026-05-27
2,516,8.155339805825243,6.0,1,46,2026-05-08
17,513,8.2265625,6.0,1,53,2026-05-31
6,512,8.221135029354208,6.0,1,44,2026-04-22
35,511,8.229411764705882,6.0,1,61,2026-05-29
39,511,8.262745098039217,6.0,1,46,2026-05-29
28,509,8.26968503937008,6.0,1,59,2026-05-17
11,508,8.272189349112425,6.0,1,60,2026-04-03
16,506,8.31089108910891,6.0,1,55,2026-04-15
37,505,8.327380952380953,5.5,1,85,2026-05-13
21,505,8.35515873015873,6.0,1,48,2026-05-17
4,503,8.392430278884461,6.0,1,55,2026-05-17
38,496,8.503030303030304,6.0,1,60,2026-05-10
22,492,8.558044806517312,6.0,1,80,2026-05-27
27,489,8.575819672131148,5.0,1,61,2026-04-26
31,487,8.59670781893004,6.0,1,55,2026-03-08
9,486,8.630927835051546,6.0,1,49,2026-04-12
10,484,8.726708074534162,6.0,1,57,2026-05-31
34,472,8.912951167728238,6.0,1,59,2026-04-15
23,471,8.902127659574468,6.0,1,55,2026-03-22
26,467,9.008583690987125,7.0,1,54,2026-05-06
40,443,8.217194570135746,6.0,1,44,2026-04-22
44,439,8.342465753424657,6.0,1,51,2026-05-24
42,432,8.443155452436194,6.0,1,43,2026-04-05
43,431,8.413953488372092,5.0,1,62,2026-03-08
41,431,8.474418604651163,6.0,1,48,2026-05-01
45,297,8.972972972972974,6.0,1,51,2026-05-24
47,297,8.989864864864865,6.0,1,53,2026-05-06
50,287,8.164335664335665,6.0,1,42,2026-05-22
46,268,9.985018726591761,6.0,1,55,2026-05-24
49,266,8.79245283018868,7.0,1,55,2026-05-31
48,253,9.281746031746032,6.5,1,64,2026-05-24
54,250,8.538152610441767,7.0,1,45,2026-05-20
56,245,8.717213114754099,6.0,1,50,2026-05-22
52,241,8.791666666666666,6.0,1,47,2026-05-22
51,235,9.952991452991453,8.0,1,39,2026-05-31
55,231,9.21304347826087,7.0,1,56,2026-05-10
53,215,9.906542056074766,7.0,1,45,2026-05-08
