numero,apariciones,gap_promedio_sorteos,gap_mediana_sorteos,gap_min_sorteos,gap_max_sorteos,ultima_fecha
11,106,40.00952380952381,28.0,1,305,2026-04-29
28,102,41.08910891089109,35.0,1,161,2026-01-14
26,101,41.97,30.5,1,156,2026-04-24
9,97,42.9375,24.0,1,294,2026-01-02
34,94,43.193548387096776,25.0,1,193,2025-05-09
37,94,45.1505376344086,32.0,1,241,2026-04-22
12,93,44.44565217391305,32.5,1,276,2025-11-21
32,93,45.641304347826086,31.0,1,286,2026-04-17
29,92,44.31868131868132,28.0,1,353,2025-10-12
31,92,45.86813186813187,25.0,1,399,2026-05-20
40,91,40.13333333333333,26.0,2,197,2026-05-01
6,91,46.455555555555556,32.0,1,255,2026-04-12
27,90,46.146067415730336,37.0,1,183,2025-09-17
39,89,47.06818181818182,36.5,1,329,2026-05-17
25,89,47.26136363636363,30.5,1,275,2026-01-28
13,88,47.2183908045977,33.0,2,401,2026-02-04
38,88,47.689655172413794,29.0,1,238,2026-02-27
1,88,47.96551724137931,30.0,1,297,2026-02-25
16,88,48.03448275862069,32.0,1,256,2026-05-24
22,87,48.08139534883721,32.5,1,230,2026-03-06
19,86,48.0,36.0,1,267,2025-09-14
2,86,48.37647058823529,34.0,1,199,2025-11-14
10,84,49.795180722891565,35.0,1,277,2026-01-30
4,83,49.84146341463415,44.0,1,235,2025-12-26
3,83,50.46341463414634,41.0,1,178,2026-03-25
36,82,50.91358024691358,40.0,1,224,2025-10-22
44,81,45.2625,31.5,1,248,2026-05-29
30,81,50.125,34.0,1,197,2025-06-08
20,81,51.6625,31.5,1,258,2026-02-08
18,80,50.949367088607595,38.0,1,192,2025-09-03
43,79,46.11538461538461,36.0,2,176,2026-02-15
33,79,52.35897435897436,36.5,3,229,2025-08-08
24,79,53.756410256410255,40.0,1,278,2026-05-06
15,78,50.883116883116884,34.0,1,312,2024-10-06
21,78,52.36363636363637,31.0,1,374,2025-05-07
5,78,54.05194805194805,37.0,1,220,2026-03-18
17,77,52.5,36.5,2,257,2025-06-01
7,76,54.54666666666667,36.0,1,317,2025-08-27
14,73,57.75,33.0,1,276,2026-02-20
23,71,59.24285714285714,38.5,1,223,2026-03-27
8,67,63.22727272727273,41.0,1,222,2026-05-31
45,61,43.5,30.5,1,204,2026-01-23
42,61,60.25,39.0,2,317,2026-03-15
49,58,38.8421052631579,29.0,2,178,2026-02-11
35,57,73.67857142857143,55.5,1,441,2026-05-10
51,54,42.716981132075475,28.0,1,201,2026-02-22
41,53,67.3076923076923,42.0,1,284,2025-07-16
48,46,50.955555555555556,35.0,2,244,2026-03-11
46,45,60.02272727272727,48.0,1,202,2026-05-15
52,44,48.13953488372093,29.0,1,333,2026-04-10
47,43,57.26190476190476,45.0,1,201,2025-12-17
53,42,51.26829268292683,28.0,1,255,2026-04-26
56,39,54.73684210526316,40.0,2,255,2026-05-08
50,38,59.13513513513514,41.0,3,219,2026-05-27
54,37,57.083333333333336,32.5,2,236,2026-03-20
55,27,80.0,45.5,4,263,2026-03-22
