numero,apariciones,gap_promedio_sorteos,gap_mediana_sorteos,gap_min_sorteos,gap_max_sorteos,ultima_fecha
32,546,7.722935779816514,5.0,1,48,2026-05-13
13,544,7.758747697974218,6.0,1,51,2026-05-27
15,544,7.762430939226519,5.0,1,52,2026-05-29
1,542,7.741219963031424,5.0,1,47,2026-03-20
5,542,7.7652495378927915,6.0,1,43,2026-04-22
18,542,7.7818853974122,5.0,1,69,2026-05-15
36,541,7.79074074074074,5.0,1,52,2026-05-15
24,538,7.839851024208566,5.0,1,45,2026-05-13
12,535,7.868913857677903,6.0,1,51,2026-04-29
29,534,7.911819887429644,5.0,1,55,2026-05-31
14,529,7.979166666666667,5.0,1,61,2026-05-31
33,527,8.007604562737642,6.0,1,50,2026-05-24
25,525,8.030534351145038,6.0,1,43,2026-05-27
20,525,8.038167938931299,6.0,1,61,2026-05-22
30,523,8.080459770114942,5.0,1,70,2026-05-29
