numero,apariciones,gap_promedio_sorteos,gap_mediana_sorteos,gap_min_sorteos,gap_max_sorteos,ultima_fecha
11,106,40.00952380952381,28.0,1,305,2026-04-29
28,102,41.08910891089109,35.0,1,161,2026-01-14
26,101,41.97,30.5,1,156,2026-04-24
9,97,42.9375,24.0,1,294,2026-01-02
34,94,43.193548387096776,25.0,1,193,2025-05-09
37,94,45.1505376344086,32.0,1,241,2026-04-22
12,93,44.44565217391305,32.5,1,276,2025-11-21
32,93,45.641304347826086,31.0,1,286,2026-04-17
29,92,44.31868131868132,28.0,1,353,2025-10-12
31,92,45.86813186813187,25.0,1,399,2026-05-20
40,91,40.13333333333333,26.0,2,197,2026-05-01
6,91,46.455555555555556,32.0,1,255,2026-04-12
27,90,46.146067415730336,37.0,1,183,2025-09-17
39,89,47.06818181818182,36.5,1,329,2026-05-17
25,89,47.26136363636363,30.5,1,275,2026-01-28
