numero,frecuencia,proporcion
1,143,0.014681724845995893
2,143,0.014681724845995893
3,153,0.01570841889117043
4,142,0.01457905544147844
5,139,0.014271047227926078
6,145,0.014887063655030801
7,149,0.015297741273100615
8,146,0.014989733059548255
9,141,0.014476386036960985
10,147,0.015092402464065709
11,158,0.0162217659137577
12,158,0.0162217659137577
13,131,0.013449691991786448
14,146,0.014989733059548255
15,133,0.013655030800821356
16,150,0.015400410677618069
17,147,0.015092402464065709
18,148,0.015195071868583163
19,151,0.015503080082135523
20,149,0.015297741273100615
21,165,0.016940451745379878
22,146,0.014989733059548255
23,171,0.017556468172484598
24,146,0.014989733059548255
25,131,0.013449691991786448
26,121,0.01242299794661191
27,159,0.016324435318275154
28,174,0.01786447638603696
29,136,0.013963039014373716
30,147,0.015092402464065709
31,147,0.015092402464065709
32,165,0.016940451745379878
33,158,0.0162217659137577
34,130,0.013347022587268994
35,132,0.013552361396303902
36,170,0.017453798767967144
37,151,0.015503080082135523
38,140,0.014373716632443531
39,166,0.017043121149897332
40,152,0.015605749486652977
41,147,0.015092402464065709
42,137,0.01406570841889117
43,140,0.014373716632443531
44,154,0.015811088295687885
45,155,0.01591375770020534
46,127,0.013039014373716632
47,158,0.0162217659137577
48,138,0.014168377823408624
49,134,0.01375770020533881
50,140,0.014373716632443531
51,140,0.014373716632443531
52,165,0.016940451745379878
53,152,0.015605749486652977
54,153,0.01570841889117043
55,139,0.014271047227926078
56,142,0.01457905544147844
57,142,0.01457905544147844
58,142,0.01457905544147844
59,158,0.0162217659137577
60,92,0.00944558521560575
61,121,0.01242299794661191
62,110,0.011293634496919919
63,114,0.011704312114989733
64,119,0.012217659137577002
65,88,0.009034907597535934
66,98,0.010061601642710472
67,100,0.01026694045174538
68,96,0.009856262833675565
69,113,0.011601642710472279
