numero,frecuencia,proporcion
1,75,0.038501026694045176
2,67,0.034394250513347026
3,65,0.033367556468172486
4,77,0.039527720739219716
5,76,0.039014373716632446
6,67,0.034394250513347026
7,64,0.03285420944558522
8,61,0.03131416837782341
9,65,0.033367556468172486
10,62,0.03182751540041068
11,65,0.033367556468172486
12,63,0.03234086242299795
13,66,0.033880903490759756
14,78,0.04004106776180698
15,64,0.03285420944558522
16,57,0.029260780287474333
17,61,0.03131416837782341
18,77,0.039527720739219716
19,67,0.034394250513347026
20,76,0.039014373716632446
21,70,0.03593429158110883
22,59,0.030287474332648872
23,67,0.034394250513347026
24,82,0.04209445585215606
25,76,0.039014373716632446
26,68,0.03490759753593429
27,19,0.009753593429158111
28,14,0.007186858316221766
29,27,0.013860369609856264
30,15,0.0077002053388090345
31,11,0.005646817248459959
32,16,0.008213552361396304
33,22,0.011293634496919919
34,13,0.006673511293634497
35,15,0.0077002053388090345
36,7,0.003593429158110883
37,3,0.001540041067761807
38,5,0.002566735112936345
39,6,0.003080082135523614
