numero,apariciones,gap_promedio_sorteos,gap_mediana_sorteos,gap_min_sorteos,gap_max_sorteos,ultima_fecha
28,174,11.086705202312139,8.0,1,63,2026-05-20
23,171,11.094117647058823,8.0,1,71,2026-03-09
36,170,11.449704142011834,7.0,1,85,2026-05-04
39,166,11.606060606060606,9.0,1,72,2026-04-18
32,165,11.762195121951219,8.0,1,69,2026-05-25
21,165,11.798780487804878,8.0,1,72,2026-05-27
52,165,11.865853658536585,8.0,1,64,2026-05-30
27,159,12.284810126582279,9.0,1,62,2026-05-30
12,158,12.063694267515924,8.0,1,75,2026-03-23
11,158,12.095541401273886,8.0,1,67,2026-04-01
33,158,12.248407643312103,8.0,1,58,2026-04-27
59,158,12.261146496815286,8.0,1,74,2026-04-13
47,158,12.356687898089172,7.0,1,53,2026-06-01
45,155,12.46103896103896,8.0,1,109,2026-04-15
44,154,12.633986928104575,10.0,1,69,2026-05-30
3,153,12.5,10.0,1,67,2026-04-29
54,153,12.56578947368421,8.0,1,73,2026-03-09
53,152,12.701986754966887,10.0,1,57,2026-04-11
40,152,12.827814569536423,9.0,1,63,2026-05-16
19,151,12.86,9.0,1,68,2026-04-29
37,151,12.933333333333334,9.5,1,57,2026-05-16
16,150,12.966442953020135,10.0,1,93,2026-05-23
20,149,12.858108108108109,8.5,1,81,2026-03-16
7,149,12.966216216216216,10.0,1,80,2026-04-06
18,148,13.122448979591837,11.0,1,54,2026-05-06
31,147,13.246575342465754,9.5,1,62,2026-05-27
41,147,13.273972602739725,9.0,1,67,2026-05-23
10,147,13.280821917808218,8.0,1,58,2026-05-20
30,147,13.280821917808218,10.0,1,55,2026-05-20
17,147,13.315068493150685,10.0,1,65,2026-05-25
24,146,13.282758620689656,10.0,1,63,2026-05-11
8,146,13.36551724137931,8.0,1,64,2026-05-16
22,146,13.372413793103448,9.0,1,75,2026-05-13
14,146,13.406896551724138,9.0,1,96,2026-05-27
6,145,13.291666666666666,10.0,1,68,2026-04-11
2,143,13.5,8.0,1,62,2026-06-01
1,143,13.54225352112676,9.0,1,140,2026-05-30
56,142,13.588652482269504,9.0,1,101,2026-05-13
4,142,13.73758865248227,11.0,1,75,2026-05-23
58,142,13.75886524822695,8.0,1,62,2026-06-01
57,142,13.76595744680851,10.0,1,73,2026-06-01
9,141,13.721428571428572,10.0,1,77,2026-04-20
43,140,13.618705035971223,9.0,1,55,2026-04-15
50,140,13.719424460431656,10.0,1,77,2026-03-14
38,140,13.841726618705035,9.0,1,60,2026-04-13
51,140,13.971223021582734,12.0,1,50,2026-05-27
55,139,13.81159420289855,10.0,1,86,2026-03-25
5,139,14.079710144927537,11.0,1,62,2026-05-27
48,138,14.102189781021897,8.0,1,90,2026-05-25
42,137,13.977941176470589,10.0,1,61,2026-06-01
29,136,14.281481481481482,11.0,1,82,2026-04-22
49,134,14.451127819548873,11.0,1,71,2026-04-22
15,133,14.545454545454545,12.0,1,75,2026-05-09
35,132,14.80916030534351,10.0,1,112,2026-05-30
25,131,14.692307692307692,11.0,1,75,2026-05-02
13,131,14.892307692307693,10.0,1,75,2026-05-18
34,130,14.875968992248062,10.0,1,111,2026-05-18
46,127,15.023809523809524,11.0,1,91,2026-05-20
61,121,11.05,8.0,1,41,2026-05-18
26,121,15.725,10.5,1,63,2026-01-21
64,119,11.423728813559322,8.5,1,48,2026-05-25
63,114,11.84070796460177,9.0,1,59,2026-05-04
69,113,11.794642857142858,9.0,1,43,2026-03-18
62,110,12.275229357798166,9.0,1,63,2026-04-27
67,100,13.464646464646465,10.0,1,80,2026-05-13
66,98,13.824742268041238,10.0,1,66,2026-05-23
68,96,14.147368421052631,10.0,1,68,2026-05-06
60,92,14.813186813186814,10.0,1,61,2026-05-25
65,88,15.425287356321839,12.0,1,69,2026-05-18
