numero,apariciones,gap_promedio_sorteos,gap_mediana_sorteos,gap_min_sorteos,gap_max_sorteos,ultima_fecha
24,82,23.71604938271605,16.0,1,111,2026-04-01
14,78,24.103896103896105,18.0,1,171,2026-06-01
18,77,24.342105263157894,20.0,1,134,2026-05-16
4,77,24.93421052631579,17.0,1,167,2026-02-02
20,76,25.333333333333332,16.0,1,195,2026-03-30
25,76,25.426666666666666,16.0,1,123,2026-05-20
5,76,25.506666666666668,19.0,1,121,2026-05-06
1,75,26.013513513513512,17.5,1,111,2026-04-18
21,70,26.08695652173913,14.0,1,129,2026-03-14
26,68,28.149253731343283,19.0,1,132,2026-05-23
19,67,27.560606060606062,20.0,1,92,2025-12-24
2,67,28.5,21.5,1,146,2026-04-25
6,67,28.59090909090909,18.0,1,182,2026-04-11
23,67,28.757575757575758,17.0,1,107,2026-02-25
13,66,29.015384615384615,15.0,1,124,2026-05-27
9,65,28.4375,20.5,1,135,2025-09-08
3,65,29.515625,20.0,1,127,2026-04-27
11,65,29.75,19.0,1,120,2026-04-22
7,64,30.53968253968254,20.0,1,139,2026-05-11
15,64,30.714285714285715,21.0,1,201,2026-05-13
12,63,31.29032258064516,25.5,1,198,2026-05-30
10,62,31.62295081967213,22.0,2,165,2026-05-25
8,61,30.083333333333332,21.5,1,128,2025-07-30
17,61,30.266666666666666,21.0,2,144,2026-01-19
22,59,31.896551724137932,18.5,4,123,2026-05-09
16,57,31.892857142857142,23.0,1,136,2025-12-13
29,27,20.26923076923077,16.5,1,71,2015-06-13
33,22,26.19047619047619,16.0,1,75,2015-07-18
27,19,30.77777777777778,21.5,1,99,2015-09-12
32,16,36.333333333333336,27.0,2,87,2015-05-16
35,15,35.714285714285715,12.0,1,149,2015-07-29
30,15,38.57142857142857,22.0,1,178,2015-05-06
28,14,29.923076923076923,19.0,3,102,2015-08-12
34,13,43.166666666666664,23.5,8,124,2015-01-31
31,11,45.9,30.5,2,152,2014-10-04
36,7,21.666666666666668,23.5,5,43,2011-11-02
39,6,24.6,21.0,8,39,2011-08-24
38,5,38.25,25.0,6,97,2011-10-29
37,3,36.0,36.0,32,40,2011-12-07
