numero,apariciones,gap_promedio_sorteos,gap_mediana_sorteos,gap_min_sorteos,gap_max_sorteos,ultima_fecha
28,174,11.086705202312139,8.0,1,63,2026-05-20
23,171,11.094117647058823,8.0,1,71,2026-03-09
36,170,11.449704142011834,7.0,1,85,2026-05-04
39,166,11.606060606060606,9.0,1,72,2026-04-18
32,165,11.762195121951219,8.0,1,69,2026-05-25
21,165,11.798780487804878,8.0,1,72,2026-05-27
52,165,11.865853658536585,8.0,1,64,2026-05-30
27,159,12.284810126582279,9.0,1,62,2026-05-30
12,158,12.063694267515924,8.0,1,75,2026-03-23
11,158,12.095541401273886,8.0,1,67,2026-04-01
33,158,12.248407643312103,8.0,1,58,2026-04-27
59,158,12.261146496815286,8.0,1,74,2026-04-13
47,158,12.356687898089172,7.0,1,53,2026-06-01
45,155,12.46103896103896,8.0,1,109,2026-04-15
44,154,12.633986928104575,10.0,1,69,2026-05-30
