numero,apariciones,gap_promedio_sorteos,gap_mediana_sorteos,gap_min_sorteos,gap_max_sorteos,ultima_fecha
24,82,23.71604938271605,16.0,1,111,2026-04-01
14,78,24.103896103896105,18.0,1,171,2026-06-01
18,77,24.342105263157894,20.0,1,134,2026-05-16
4,77,24.93421052631579,17.0,1,167,2026-02-02
20,76,25.333333333333332,16.0,1,195,2026-03-30
25,76,25.426666666666666,16.0,1,123,2026-05-20
5,76,25.506666666666668,19.0,1,121,2026-05-06
1,75,26.013513513513512,17.5,1,111,2026-04-18
21,70,26.08695652173913,14.0,1,129,2026-03-14
26,68,28.149253731343283,19.0,1,132,2026-05-23
19,67,27.560606060606062,20.0,1,92,2025-12-24
2,67,28.5,21.5,1,146,2026-04-25
6,67,28.59090909090909,18.0,1,182,2026-04-11
23,67,28.757575757575758,17.0,1,107,2026-02-25
13,66,29.015384615384615,15.0,1,124,2026-05-27
